user,total_volume,Points
0x29a44ee57541c9a676fa979d55f304ea0aad0857,9261205.792,47089.2857376445
0x4f1df0b690c00bd96b1e71c66cb4e75cb22ef1d1,9178888.945,46670.7396415462
0x82585080306b37b6fda88f4d65179a6598897d4c,8434033.415,42883.4666154211
0xbae5e1fd212efdfae8a9ff44d5667c95f10f7902,8204805.045,41717.9380161723
0x4b5d297614ec43385775570dacf12d1b238e046d,8170949.674,41545.7978786375
0xdb36e1fa10690f5dcd1a74c2957efc65cf834a1a,7779952.399,39557.7433187205
0x1b0a499198e39b5ecca58d929fc49f4264385e28,7688067.28020468,39090.5466370824
0x905c1ca2ac32ee0799e4aa31927f1166a93f3b17,7447150.879,37865.5893788157
0x6c022e721f0a619f760ae654dabb872c1f01e3bd,7415068.694,37702.4651366292
0xf85385347f56819c316939434d427d0c9537eddc,7385230.26,37550.7494123329
0x0761704781e8240b7133b0df0a47c427e96f3ce6,7284318.211,37037.6546365061
0x8e1378c5c12b3207edef52204a1c81c170818e62,7248048.19457234,36853.2370557256
0x4415af1941df328b5ada8f93a7141abaec8296df,7181883.197,36516.8162325099
0x5c62abc26dfe4febbd48035b89aa78977348dfde,7105950.28,36130.7297006034
0x25ca93c584756d674d6fe6d1e241a89791b18df3,6919150.721,35180.9335285957
0x8755be5302ba601bfa7e7614c82d8eef349f369e,6748555.672,34313.5303860452
0x2573e5efe8d28d6bacdbbab396ebd8ecf0ac0dd6,6642846.25968038,33776.0430616433
0x2bc967083adc9bdd32058182fb7b44b3a73546f3,6639104.88345432,33757.0197575382
0xa1f62daf42d8bcd3669dec72271b3f658b9c3891,6619305.79596677,33656.3498330181
0x181862988237fc8ea3fe8134f72c329ba4442263,6572980.05667073,33420.8031856687
0xd38cd5ed56e1062501fb960fdb7464c8a45cc001,6553708.2356312,33322.8141863961
0x73a6b16ad155acd15f1a69e61369db883dfc0b0b,6447771.921,32784.1731604111
0xc97cfd2c3a3e61316e931b784bde21e61ce15b82,6415351.21096395,32619.3276626441
0x5779da0549e14c3768c3bc49090770fd713a8e4d,6361573.963,32345.8932684158
0x1b0653f5c282660c12b1b813395a463169062e51,6358507.52,32330.3017122116
0xfa91696b55ee01e0d9378b9a0b03a7be699a8bf1,6301197.37,32038.9040163145
0xd935c61a262055fb5b56749374edc4fd4f12ae1c,6247644.426,31766.6101121788
0x4b992d83fad4095a80309aeab5c3ffe8095223a7,6207546.891,31562.7312301631
0x42ec123686699fe53c121d06ac8277fa37ac2edf,6023881.024,30628.8685468734
0x1dabda9a2071353fdf113208b4910b206dd008f7,5947846.3235443,30242.2644894592
0x1fb15dbaee24cd07887010960eea11540ef21da8,5943400.07518325,30219.6572108568
0x6c554ee877ff6d9c84d821f7afb16fc747b200c6,5932562.37420908,30164.5521187799
0x2e9cef5d459f013bc6a48b2e636721fcf3f8939f,5864098.67874076,29816.4433961179
0x58e9774a7ae485a4bb86af399f7acb11c825b4b8,5724872.10647575,29108.5355932999
0x8f25818ff64be1abee91abca70c306b33b602062,5712219.115,29044.2005224226
0x6f7c0e5832d1e193e6289c0cbd952d837df97378,5656528.367,28761.0367957532
0x69b8a24edc9053b3d007710e7b986df40a0bc7eb,5637461.04773578,28664.0876008806
0xd742b2e27e0c1ee2d22bcbb249998b24492878f3,5592746.43867288,28436.7328643485
0x5a688a5d721d6322d0a59366587b8401be379929,5583708.785,28390.7802458927
0x727514c52b7c218c950ae33d065e2af9bbd5fe15,5363573.46618353,27271.4859378394
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,5286520.71421583,26879.7055222251
0x97f6b790decac55eff89fb4f197b0fe1902dec74,5221912.016,26551.1978181797
0x9f6ca0ee0edab5f05baea626dbe7f0d231a60ec2,5202758.78736417,26453.8118107539
0x8c4eaa0559a78ac453ea9570297f5fc628c8b592,5165884.12221368,26266.319848827
0xeda73c9fa6a90cea2bcc5529e9e12c012e13655b,5019380.45784684,25521.4111330589
0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,5012775.783,25487.8291753687
0x158dd6d91420265bf7d8b45c16eafd3efc292e9a,4984859.54437457,25345.8869956054
0xaa5572a377d44aa0f68d8735bd7391cb10f0d239,4944596.34844428,25141.1657983387
0x58d2bd94c582e16126d3912d06ee7204219e4fb7,4928587.955,25059.7699380124
0x757bc3a52ba2ab86d9aca02158da0d374f98fb40,4881106.489,24818.3469127679
0x39500416f6e1544b533d71c5c3f619de158b46e9,4635218.645,23568.1119859584
0x445726b59a24628295cf52e8ddfd3617b94e3932,4606085.05130586,23419.9800743219
