user,total_volume,Point,
0x6f7c0e5832d1e193e6289c0cbd952d837df97378,5656528.37,16928.77896,
0x69b8a24edc9053b3d007710e7b986df40a0bc7eb,5637461.048,16871.71455,
0xd742b2e27e0c1ee2d22bcbb249998b24492878f3,5592746.439,16737.89329,
0x5a688a5d721d6322d0a59366587b8401be379929,5583708.785,16710.84553,
0x727514c52b7c218c950ae33d065e2af9bbd5fe15,5363573.466,16052.02762,
0x4d60d71f411ab671f614ed0ec5b71beedb46287d,5286520.714,15821.42523,
0x97f6b790decac55eff89fb4f197b0fe1902dec74,5221912.02,15628.06523,
0x9f6ca0ee0edab5f05baea626dbe7f0d231a60ec2,5202758.787,15570.7437,
0x8c4eaa0559a78ac453ea9570297f5fc628c8b592,5165884.122,15460.38572,
0xeda73c9fa6a90cea2bcc5529e9e12c012e13655b,5019380.458,15021.9316,
0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,5012775.78,15002.16522,
0x158dd6d91420265bf7d8b45c16eafd3efc292e9a,4984859.544,14918.6179,
0xaa5572a377d44aa0f68d8735bd7391cb10f0d239,4944596.348,14798.11877,
0x58d2bd94c582e16126d3912d06ee7204219e4fb7,4928587.955,14750.20907,
0x757bc3a52ba2ab86d9aca02158da0d374f98fb40,4881106.489,14608.10721,
0x39500416f6e1544b533d71c5c3f619de158b46e9,4635218.645,13872.21751,
0x445726b59a24628295cf52e8ddfd3617b94e3932,4606085.051,13785.02689,
0x44306c23fc2ea97da18c349042dc62f504923a63,4505576.58,13484.22655,
0x63ce0df2a7a6b5c909e3ae8e1243d550adba916e,4486038.598,13425.75355,
0xb8187b9ef4f81061ee346f0e320896a881542e10,4441023.455,13291.03286,
0x90d621b4a0863e3a031dd933b25da2785f53080a,4436811.731,13278.42807,
0x9d3f2735904881ea4f1e1097a7ce07e503fab0d5,4397460.225,13160.65743,
0x388a3c5da4ef7fe12ac6cd929ce1b560b6ddf3e2,4332244.415,12965.48047,
0x0ff7f5043dd39186c2df04f81cfa95672b8a3994,4284932.722,12823.8867,
0xf18d5b1bb91ec405b2514c66969abb87d373d7e1,4255498.248,12735.79561,
0xd6e1357a8268b1fa2e86702756e49623e7ceb136,4241914.743,12695.14309,
0xb69fd1c676c391f701a2b5174d7661cf45b2bffe,4200629.439,12571.58501,
0x2dbad8f0f155b6deb868110d221e6ea712f9982b,4173849.568,12491.43859,
0xb777dfe3ec1d49623babf6fd807352d2828b8ca2,4143393.845,12400.29113,
0x2db7a36598ff364ba36592ee30fdcdc17f7939ab,4060338.74,12151.72497,
0x1ea2a806f60d3abd361b2e9ec992ba7b85258343,3961049.17,11854.57253,
0x19936a3043d8b317c368247b7e8adf3809c0080c,3900476.84,11673.29251,
0xc4e75a1ca2eb5ab0596f34e0ef934faef9a5c340,3864181.577,11564.66856,
0x067b9d0562b1bbb405f05e595347c88d224997de,3821081.75,11435.68,
0x6a5f44d24dca8417db339203d9e07d23321f030b,3779474.255,11311.15767,
0x99b817435601283624253b441936b025df73924f,3779312.306,11310.67299,
0x7e028136aaf176b8e338581c0e62857d8b7f5ef4,3760373.615,11253.99354,
0xd9144f78e0cf813d835da362f08c19554668d9fe,3612332.855,10810.93923,
0x6bdb8fb76eefd39c5438b04529f31644fc8f04c2,3580704.98,10716.28376,
0x62016b340492521827fc3837571553227d54481d,3559672.208,10653.33718,
0x78728fa68e9f07704ddad785007fa021d7b140a0,3528145.6,10558.98479,
0x7d4c4d5380ca2f9c7a091bb622b80613da7eae8c,3511510.336,10509.199,
0x4103fae2c315e037b20ff7c625a1b825cac30bf1,3506374.394,10493.82823,
0x695bf7c07c76a1e7f317853567115082f2ca44c6,3425420.353,10251.5501,
0x1d69d3cdebb5c3e2b8b73cc4d49aa145ecb7950f,3379686.614,10114.67881,
0xa24dfe0bb27139bfc01254bcce9d95ac1d1658ed,3377448.77,10107.98142,
0x578c933342a2300ed4b58ceb28cff2bea92ea4c2,3359090.253,10053.03831,
0x99a4c383adcc704f0f9b3966a0d23660caff4b77,3356493.07,10045.2655,
0x6a018ad51de844243ce7fb743c3e5f4481df6858,3342440.934,10003.21046,
0xb442bc82e2fca9a56dec1954005ef012df4106bf,3339148.22,9993.356074,
0x421d9cedf47ea245a1f31a1ddeace7eade7d4947,3335975.302,9983.860208,
0xd4ec40f25a06494658f95b8286e61311bddafeca,3322598.64,9943.826721,
0xb4bd96e23dea3ee89fdca95ce2a1f1dc0d7bcc77,3236091.704,9684.929973,
0x7f2e54d53258dc45b8581f11f924075146608d19,3223631.875,9647.640372,
0x2a94086c36f9b26f21d9b7ab4419f6dc31c677c1,3129855.672,9366.988262,
0x0eb4d9088b4873df8d66b2706b2232fde75b476a,3073977.588,9199.757115,
0x55759be298147ecad66fab2708842a294ab97be8,3069585.351,9186.61209,
0x0f11fc1644a4479598c84c36e7d8c95fb0d7af5f,3029333.99,9066.14838,
0xb6b0efc1c1440e5eb7abd8661606272d13c4fe6b,3018349.762,9033.274937,
0x779f88bdb85ca1007cc1627ba9513a81d74ab8a7,3010140.053,9008.705033,
