user,total_volume,Percentage,Point
0xd4a772ec0c1af72f57ca9e484bf48ec05ae4d0fe,6620136.927,0.00196996255,18202.45397,
0xda1d9534bef3344fa5be3b644b767b349e7415c7,6550243.227,0.001949164193,18010.27715,
0x5ea7905ac8fdc4fe5f8458b4e716cd1443d941af,6545681.756,0.001947806831,17997.73511,
0xacb17fc73cf202ebe532e107cec195d50dee61dd,6476977.484,0.001927362413,17808.8287,
0xe3b02b63886e91e1bfcacda5b0a1d5add013ec00,5864723.287,0.001745173154,16125.39995,
0xc87dd626049eb00fa06f9aebd78027e710cf2bad,5795673.463,0.001724625911,15935.54341,
0xc9026fd0187f59ae51120056654fc4f50efbb6e8,5720857.633,0.001702362869,15729.83291,
0x6c022e721f0a619f760ae654dabb872c1f01e3bd,5707778.929,0.001698471023,15693.87225,
0xb5d26158102181dc4ceee75f260a60debd752e45,5615028.788,0.001670871245,15438.85031,
0xd0bc0fcd91c501d6dd35e5daf93ace0b4d958a4e,5530705.586,0.001645779083,15206.99873,
0xc4270adbc6d6e8a52b5fb8dad0cd196bd7b2bbd6,5474531.059,0.001629063158,15052.54358,
0x4ea24aea956cbd26b188565f12e334989628d340,5467654.282,0.001627016826,15033.63548,
0x3af6e4903d7eb6a88ba5ee41f2281d1221ba3928,5442733.121,0.001619601005,14965.11329,
0x56c2353fcff2f0a4d20d298a1bb05b296d6a5c39,5274559.151,0.001569557263,14502.70911,
0xe10996fbf3a3c37ee0fd4a9e7262bc373a6aea67,5190976.687,0.001544685523,14272.89424,
0x8c4eaa0559a78ac453ea9570297f5fc628c8b592,4889765.565,0.001455053747,13444.69662,
0xd8bfdc94fc02ada4065c2d626f6f4123290eba8e,4864057.834,0.001447403865,13374.01171,
0x567f65992ea5586f917197cb2680dcbc76b751de,4841620.85,0.001440727263,13312.31991,
0x20ac953aa636673f9c966b10abc5bdd8d80d2f3c,4690194.133,0.001395667023,12895.96329,
0x4b5d297614ec43385775570dacf12d1b238e046d,4676410.138,0.001391565302,12858.06339,
0x25ca93c584756d674d6fe6d1e241a89791b18df3,4552012.165,0.001354548039,12516.02388,
0x63d664edc4a5286ef459b9a9ec05273ffe04bd71,4524308.934,0.001346304354,12439.85223,
0x413bc0ab19ec2bce506dbfc3f86667220fe93b98,4418817.344,0.001314913087,12149.79693,
0xbe878c39929ed3e79a9fff31a4415da9a45fa73c,4003745.399,0.001191399602,11008.53232,
0x64bc4ab80dc60d1256a8d74bc02f0504961d5201,3975829.779,0.001183092715,10931.77669,
0xab61660f93dffca32e3f526b20dad35332080a12,3946374.454,0.001174327657,10850.78755,
0x2f45724d7e384b38d5c97206e78470544304887f,3917493.514,0.001165733519,10771.37771,
0x12e73f2b3d75fe71425b48c584d2f379208e9684,3903228.457,0.001161488648,10732.1551,
0x55759be298147ecad66fab2708842a294ab97be8,3712801.603,0.001104823087,10208.56532,
0xebd42afaaab530cb3a1495fbe0e5be5df3445bd7,3666522.8,0.001091051845,10081.31904,
0x99a4c383adcc704f0f9b3966a0d23660caff4b77,3496858.837,0.001040564724,9614.818048,
0x95d7c73196feaa1e85a1641639f7c0c1341fda52,3408233.106,0.001014192252,9371.136413,
0x62016b340492521827fc3837571553227d54481d,3383543.387,0.001006845301,9303.250585,
0xdb36e1fa10690f5dcd1a74c2957efc65cf834a1a,3291355.121,0.0009794127221,9049.773552,
0xb0075e181007215bc343dd7d3822f872090f41e7,3287074.29,0.0009781388698,9038.003157,
0xcb948151fec839ba0bc3a4829d81b8a32ef3354c,3165674.883,0.0009420138941,8704.208382,
0xf99c8873b972b4192e789f55ab954188d0d9a133,3081681.982,0.0009170200199,8473.264984,
0x1240e47808f00789b9495f72fe862f0386391698,3020575.596,0.0008988365151,8305.249399,
0xa1a7aec61de1b80efe2dfe0ed8bb4243274ce67a,3016069.726,0.0008974956976,8292.860246,
0x46087eee29e52982d6169bee30f276bec678b588,2967590.654,0.0008830697186,8159.5642,
0x252530586e885231d62edbf1b6788177ef5d6b61,2740730.394,0.000815562623,7535.798637,
0x7a352ec165f10afac3a492aad18a8bcd06bdcb9d,2653786.661,0.000789690666,7296.741754,
0xb3ddc2a5b4ebdb7640191906bd4195e23e17142c,2634828.601,0.000784049292,7244.615458,
0x5625438348a2357dd6bd67d344d24fce55657088,2554720.741,0.0007602114944,7024.354208,
0xa95830e6121c6195f7c12e4958130ce64befefb4,2549964.38,0.000758796138,7011.276315,
0xf2d0d2ba90a41278c51956ad841ec3c042384003,2538048.459,0.0007552503023,6978.512793,
0x36f7f776cb2049fda23626bb8af0bb14d4630953,2502406.074,0.0007446441525,6880.511969,
